Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24945544,Tenure hacks,Russell James,"James, Russell",,"=""""","=""""",5,4.49,,Kindle Edition,153,2014,2014,2024/03/29,2024/03/29,,,read,,,,1,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""""","=""""",3,3.90,Ace,Kindle Edition,268,2007,1984,2024/03/26,2024/03/26,,,read,,,,1,0
8430269,The Three Musketeers,Alexandre Dumas,"Dumas, Alexandre",Allan Massie,"=""0307594998""","=""9780307594990""",5,4.09,Everyman's Library,Hardcover,625,2011,1844,2024/02/15,2024/02/14,,,read,,,,1,0
7134,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Lucy Sante,"=""1593081510""","=""9781593081515""",5,4.30,Barnes & Noble Classics,Paperback,610,2004,1844,2019/12/24,2019/12/24,,,read,,,,1,0
60581087,The Passenger (The Passenger #1),Cormac McCarthy,"McCarthy, Cormac",,"=""0593535227""","=""""",4,3.59,Knopf,Kindle Edition,385,2022,2022,2023/06/19,2024/02/09,,,read,,,,3,0
975485,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",Verlyn Klinkenborg,"=""0679428011""","=""9780679428015""",4,3.43,Everyman's Library,Hardcover,110,1993,1899,2011/05/01,2011/05/20,,,read,,,,2,0
13532264,"The Passage (The Passage, #1)",Justin Cronin,"Cronin, Justin",,"=""""","=""""",5,4.04,Ballantine Books,Mass Market Paperback,879,2012,2010,2018/11/19,2018/11/19,,,read,,,,1,0
16181033,The Road Back,Erich Maria Remarque,"Remarque, Erich Maria",,"=""""","=""""",4,4.33,Avon Books,Paperback,256,1959,1931,2024/01/13,2024/01/13,,,read,,,,1,0
77685,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""039548930X""","=""9780395489307""",5,4.56,Houghton Mifflin Company,Hardcover,440,1983,1955,2014/07/20,2014/07/20,,,read,,,,3,0
77684,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.48,Houghton Mifflin Company,Hardcover,352,1988,1954,2014/02/06,2014/02/06,,,read,,,,3,0
5041651,King Arthur and the Knights of the Round Table (Great Illustrated Classics),Joshua E. Hanft,"Hanft, Joshua E.",Pablo Marcos,"=""1603400508""","=""9781603400503""",3,3.98,Baronet Books,Hardcover,239,2008,1903,,2013/03/05,,,read,,,,1,0
